Comp Depth [cm],Al, Si, P, S, Ar, K, Ca, Ti, Mn, Fe, Ni, Rb,  Zr, Ca_Ti, Si_Ti, Zr_Ti, Ni_Ti, Fe_Ti, Al_Ti, K_Ti, Rb_K,core name
21,565,4654,0,22,8705,63235,565552,28940,6563,145599,862,2692,980,19.54222529,0.16081548,0.033863165,0.029785764,5.031064271,0.019523151,2.18503801,0.042571361,HIBO19-C-1-1
21.5,630,6755,0,85,9151,90750,679818,40242,6198,171518,898,3142,1048,16.89324586,0.16785945,0.026042443,0.022314994,4.262163908,0.015655286,2.255106605,0.03462259,HIBO19-C-1-1
22,609,6685,0,126,9055,76283,615328,34039,8310,175920,851,2832,801,18.0771468,0.196392373,0.023531831,0.025000734,5.16818943,0.017891242,2.241047034,0.037124916,HIBO19-C-1-1
22.5,680,6051,0,76,8969,79318,596830,32687,5639,162904,882,3028,745,18.25894086,0.185119466,0.022791936,0.026983204,4.98375501,0.020803377,2.426591611,0.038175446,HIBO19-C-1-1
23,691,6340,0,138,8947,100696,460626,44459,7504,177659,797,4160,1015,10.36069187,0.142603297,0.022830023,0.017926629,3.996018804,0.01554241,2.264918239,0.041312465,HIBO19-C-1-1
23.5,786,7540,0,89,8869,103132,587813,46091,7179,181520,1137,3583,1081,12.7533141,0.163589421,0.023453603,0.02466859,3.93829598,0.017053221,2.237573496,0.034741884,HIBO19-C-1-1
24,842,7463,0,57,8412,81965,612053,32450,6459,162514,828,3339,908,18.86141757,0.229984592,0.02798151,0.025516179,5.008135593,0.025947612,2.525885978,0.0407369,HIBO19-C-1-1
24.5,888,8550,0,188,8138,82679,641874,32535,8205,161411,1085,3467,773,19.72872291,0.262793914,0.023759029,0.033348701,4.961149531,0.027293684,2.541232519,0.04193326,HIBO19-C-1-1
25,718,6593,0,138,8510,74721,521309,31374,7851,150919,700,3103,853,16.61595589,0.210142156,0.027188118,0.022311468,4.810320648,0.022885192,2.381621725,0.041527817,HIBO19-C-1-1
25.5,741,6127,0,73,9035,86892,497293,44306,8934,184355,900,3793,1288,11.22405543,0.138288268,0.029070555,0.020313276,4.160948856,0.016724597,1.961179073,0.04365189,HIBO19-C-1-1
